Requirement ID,Area,Requirement summary,Status,Evidence (code paths),Gap,Next steps
FR-080,Limits,Fraud signals force Restricted tier until cleared,Not started,,No fraud signal ingestion,Add risk signals + enforcement
FR-081,Limits,Most restrictive when both user+account assignments,Met,server/src/services/limitService.ts (mergeToMostRestrictive),,
FR-082,Limits,Thresholds include per-txn/daily/monthly/velocity/same-day sublimits,Partial,server/prisma/schema.prisma (LimitTier); server/src/services/limitService.ts,Monthly/velocity not enforced,Implement monthly aggregates + velocity window enforcement
FR-083,Limits,Apply to internal and ACH including future-dated,Partial,server/src/services/transferService.ts,Future-dated not implemented,Add scheduling + predictive checks
FR-084,Limits,Predictive scheduling against projected consumption,Not started,,No scheduling engine,Add scheduler + projection queries
FR-085,Limits,Attach applied tier + thresholds snapshot to transfer event,Met,server/src/services/transferService.ts; server/src/services/limitService.ts (LimitDecision created with appliedTierIds + snapshot),,
FR-086,Limits,UI shows specific user-friendly block reason,Met,server/src/services/limitService.ts (friendlyReason returned); client internal-transfer shows apiError from server,,
FR-087,Limits,UI must not expose internal tier names,Not started,,No UI mapping,Add friendly copy layer
FR-088,Traceability,Maintain traceability matrix file,Met,docs/traceability/traceability_matrix.csv; docs/logs/requirements_version_log.md,,
NFR-001,Security,Mask account identifiers in UI/notifications,Met,server/src/utils/maskUtils.ts (maskAccountNumber/maskRoutingNumber); server/src/services/accountService.ts; all API responses use last4 fields only,,
NFR-002,Security,No PII/body in notifications,Not started,,No notification system,Implement with sanitization
NFR-003,Security,Do not log PII,Met,server/src/utils/logger.ts (redactPII wrapper); no raw account numbers or passwords logged,,
NFR-004,Security,OWASP secure coding,Met,server/src/index.ts (helmet); server/src/middleware/rateLimiter.ts; server/src/middleware/validateRequest.ts (Zod); cors restricted,,
NFR-005,Security,Audit trail for key events,Not started,,No audit log model,Add AuditEvent model + emit events
NFR-006,Security,Rate limiting + CAPTCHA for forgot-username,Partial,server/src/middleware/rateLimiter.ts,Flow missing CAPTCHA,Add CAPTCHA + endpoints
NFR-007,Security,Short-lived recovery/consent tokens,Not started,,No recovery tokens,Implement with TTL
NFR-008,Security,JWT/secrets production-grade practices,Met,"server/src/utils/jwt.ts (RS256 tokens); server/.env.example (secrets via env vars, not hardcoded)",,
NFR-009,Reliability,Idempotent money movement endpoints,Not started,,No idempotency storage,Add IdempotencyKey table + middleware
NFR-010,Reliability,Retries with exponential backoff for upstream,Not started,,No retry wrapper,Add retry util for Stripe/Nymbus
NFR-011,Correctness,Lifecycle semantics (Pending->Hold->Posted),Partial,server/prisma/schema.prisma (TransactionStatus),Posting engine missing,Implement lifecycle transitions
NFR-012,Correctness,Prevent duplicate notifications,Not started,,No notifications,Add dedupe
NFR-013,Correctness,Balance consistency (holds/pending),Partial,server/src/services/transferService.ts,Hold/current logic incomplete,Add holds model + reconciliation
NFR-014,Performance,Target <1s for key loads,Unknown,,Not measured,Add metrics + profiling
NFR-015,Performance,Client caching with invalidation on workspace/session,Met,client/src/app/core/services/account.service.ts (cache with Map); client/src/app/core/services/workspace.service.ts (invalidation on switch),,
NFR-016,Observability,Correlation IDs end-to-end,Met,server/src/middleware/correlationId.ts; client/src/app/core/interceptors/correlation.interceptor.ts (X-Correlation-ID end-to-end),,
NFR-017,Observability,Emit domain events for key actions,Not started,,No event bus,Add event emitter + sinks
NFR-018,Observability,Audit logs capture tiers/thresholds/tenure snapshots,Partial,server/src/services/transferService.ts,Stored snapshot but not audit log,Add audit events
NFR-019,Accessibility,WCAG 2.1 AA,Unknown,,Not audited,Run accessibility audit + fixes
NFR-020,Accessibility,Keyboard accessibility for critical flows,Unknown,,Not audited,Audit + fixes
NFR-021,Maintainability,Deterministic diff-friendly outputs,Met,tsconfig (strict mode); ESLint config; prettier formatting,,
NFR-027,Integrations,Identity/auth flows implemented via Transmit Security Mosaic,Not started,,Integration with Transmit not present,Design identity integration using Transmit APIs/journeys per PRD; update auth flows
NFR-028,Integrations,Core banking (accounts/balances/transactions/limits) via Nymbus Core APIs,Not started,,No Nymbus integration,Integrate with Nymbus Core as system of record; map account/transaction/limits models
NFR-029,Integrations,External account linking/aggregation via Mastercard Finicity Open Finance,Not started,,No Mastercard Finicity integration,Integrate Mastercard Finicity Open Finance for external account linking per vendor docs
